cycle,max_capacity
1,15.436739019514032
20,15.395740192645933
40,15.362821002318583
60,15.334082854710779
80,15.30800113358826
100,15.283972619851848
120,15.261507645862848
140,15.240331175035953
160,15.220243967657439
180,15.201076041454003
200,15.182698790993864
220,15.165006400368197
240,15.147903614969238
260,15.131308727684821
280,15.11514656055223
300,15.099351650818315
320,15.083861328201957
340,15.068619055054796
360,15.05357151846999
380,15.038663842329237
400,15.023821377108085
420,15.009119472623377
440,14.994350423840233
460,14.979486476235767
480,14.964488207988857
500,14.949318418253535
520,14.933978945576852
540,14.91810982049314
560,14.901839628544858
580,14.884972221203206
600,14.867330570313758
620,14.848789087900713
640,14.82897566749828
660,14.80772021233206
680,14.784401914970418
700,14.758357217384084
720,14.728507878472389
740,14.693028186009405
760,14.648475509598379
780,14.587019266082919
800,14.48291571881795
